Category,Item,Size,Walmart,Kroger,Target,Aldi
Produce,Strawberries,1 lb,2.37,3.29,2.99,1.95
Produce,Lettuce,1 head,1.98,1.99,1.99,1.95
Produce,Tomatoes,per lb,0.97,1.79,2.69,0.95
Produce,Carrots,1 lb bag,1.08,1.99,1.49,1.05
Produce,Onions,3 lb bag,2.84,2.99,2.99,1.99
Produce,Potatoes,5 lb bag,3.24,2.99,2.59,3.49
Produce,Bell peppers,3 pack,2.48,3.99,2.69,2.25
Produce,Broccoli,per head,2.02,1.37,3.79,1.95

Meat,Chicken breast,per lb,3.57,4.99,4.99,3.29
Meat,Ground beef,1 lb,7.43,7.49,6.69,5.79
Meat,Bacon,12-16 oz,7.28,6.99,4.49,4.39
Meat,Steak,per lb,14.94,14.99,18.64,10.99
Meat,Pork chops,per lb,6.67,5.00,5.96,2.69
Meat,Ground turkey,1 lb,5.34,3.50,6.69,2.45
Meat,Sausage,links/roll,3.78,2.99,4.99,3.19
Meat,Deli ham,per lb,4.59,5.00,3.99,4.59
Meat,Deli turkey,per lb,8.27,13.49,6.29,6.29
Meat,Chicken thighs,per lb,8.54,8.48,8.34,6.19

Dairy,Milk 2%,1 gallon,2.94,2.89,2.89,2.20
Dairy,Eggs,dozen,1.67,1.79,1.99,1.66
Dairy,Butter,1 lb,3.43,3.99,3.19,3.29
Dairy,Shredded cheese,8 oz,1.97,2.00,4.49,3.09
Dairy,Sliced cheese,8 oz,1.67,3.50,4.49,2.25
Dairy,Yogurt,single,2.64,5.99,3.29,1.65
Dairy,Greek yogurt,single,2.94,4.29,7.29,3.09
Dairy,Sour cream,16 oz,1.84,1.99,2.79,1.85
Dairy,Cream cheese,8 oz,2.98,1.99,1.69,1.65
Dairy,Coffee creamer,16-32 oz,4.98,2.50,3.89,3.05

Pantry,Pasta,1 lb,2.87,1.25,3.19,1.49
Pantry,Rice,1-2 lb,9.25,1.49,0.89,4.29
Pantry,Canned beans,15 oz,1.48,1.49,1.19,1.09
Pantry,Canned corn,15 oz,1.67,1.99,1.79,0.85
Pantry,Pasta sauce,24 oz,2.48,2.79,1.79,1.49
Pantry,Peanut butter,16 oz,8.50,2.29,5.69,3.99
Pantry,Bread,loaf,6.47,1.99,3.69,1.39
Pantry,Cereal,standard box,5.37,4.79,5.59,1.85
Pantry,Flour,2-5 lb,3.97,2.99,2.59,2.15
Pantry,Sugar,2-4 lb,3.74,3.29,5.29,3.09

Frozen,Frozen pizza,standard,4.82,3.99,4.99,4.95
Frozen,Frozen vegetables,12 oz,0.98,3.49,0.99,1.09
Frozen,Frozen chicken nuggets,bag,7.86,7.29,6.99,7.17
Frozen,Ice cream,48 oz,2.97,2.99,4.99,3.25
Frozen,Frozen fries,bag,4.52,3.29,4.39,3.45

Bakery,Bagels,6 pack,4.24,2.29,3.99,2.15
Bakery,Donuts,dozen,6.97,4.99,5.99,6.49
Bakery,Muffins,4-6 pack,3.98,5.00,4.49,3.85
Bakery,Cupcakes,4-6 pack,4.48,6.49,4.99,4.85
Bakery,Cookies,dozen,6.47,3.00,7.99,3.85

Beverages,Soda,2 liter,2.47,3.49,2.99,3.29
Beverages,Bottled water,24 pack,3.68,3.99,3.89,3.55
Beverages,Orange juice,52 oz,3.87,4.99,4.19,4.15
Beverages,Coffee,ground,6.42,9.79,8.49,6.85
Beverages,Sports drink,bottle,1.68,0.88,2.19,2.65
